,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,,,,,,,,,,,
,,,8,Seberang Dealer Honda,"-7.164812,110.413059",Isp 4.jpg,Isp 4 wide.jpg,-,https://drive.google.com/file/d/1hNWDBkYTcc6F1NX93C7mL9WwZn22POjc/view?usp=drive_link,https://drive.google.com/file/d/19CpXYI680MEAyO9G9Mr6YV30UTs-uGl_/view?usp=drive_link,-,,9,Jembatan,"-7.131168,110.418321",Isp 1 jb 1 jembatan.jpg,Isp 1 jb 1 jembatan wide.jpg,Isp 1 jb 1 jembatan.jpg,https://drive.google.com/file/d/1T4bSttgXaJX1JJAeDdEJlMWWU_w8NgDG/view?usp=drive_link,https://drive.google.com/file/d/1tK279pPVgJ0Cu28gABdFUmQojytJ96FU/view?usp=drive_link,https://drive.google.com/file/d/1T4bSttgXaJX1JJAeDdEJlMWWU_w8NgDG/view?usp=drive_link
,,,9,Seberang pasar Babadan,"-7.163627,110.412786",-,Joint box 5 wide.jpg,Joint box 5.jpg,-,https://drive.google.com/file/d/1qbe35eg5c7SBa66Zf716V3Qu6y3Fm7V5/view?usp=drive_link,https://drive.google.com/file/d/1UjBNTSSSFz9w5FgpTuNwD5PxSjyW_B-A/view?usp=drive_link,,10,Depan Ayam Panggang,"-7.130385,110.415986",Isp2 jembatan.jpg,Isp2 jembatan wide.jpg,-,https://drive.google.com/file/d/1HTD0GwzzVmEwncDIsa1Hhq1Q3CodztMS/view?usp=drive_link,https://drive.google.com/file/d/1sWMujbhtgilVzZJ2V0DAUEGUs3KstgZJ/view?usp=drive_link,-
,,,10,Seberang Pasar Babadan,"-7.162837,110.412654",Isp 5.jpg,Isp 5 wide.jpg,-,https://drive.google.com/file/d/1A_kYeT3ClntnS0LUWoUU5aK8-otHeaLY/view?usp=drive_link,https://drive.google.com/file/d/1ICdkUP8k4N6MZA7t4VGf7T_cauew2gck/view?usp=drive_link,-,,11,Depan perumahan,"-7.130635,110.416769",-,Jb 2 jembatan wide.jpg,Jb 2 jembatan.jpg,-,https://drive.google.com/file/d/1628GftTVH52Na5vA9Qyz07JNYnmtgBNU/view?usp=drive_link,https://drive.google.com/file/d/1_UV4QMxsHanxuXI456Tl843LfkMZFjtT/view?usp=drive_link
,,,11,Depan astra,"-7.161455,110.412380",-,Joint box 6 wide.jpg,Joint box 6.jpg,-,https://drive.google.com/file/d/1Owv6H3TIJ8b6Fg-jZUtsNFnPLN26w9_h/view?usp=drive_link,https://drive.google.com/file/d/1HRipxOMQ0z41mqufGkKYNmy3OugoDy4Z/view?usp=drive_link,,12,Depan Balai,"-7.129700,110.414514",Isp 3 jembatan.jpg,Isp 3 jembatan wide.jpg,Isp 3 jembatan.jpg,https://drive.google.com/file/d/1XKHR9JvGyNKWL2mZal6IqKBeVg5A0-WS/view?usp=drive_link,https://drive.google.com/file/d/1opaDHTgHKimsX0GqnwDw85_g2SXfJbl8/view?usp=drive_link,https://drive.google.com/file/d/1XKHR9JvGyNKWL2mZal6IqKBeVg5A0-WS/view?usp=drive_link
,,,12,Seberang Nissin,"-7.160908,110.412296",Joint box 7 & isp 6.jpg,Joint box 7 & isp 6 wide.jpg,Joint box 7 & isp 6.jpg,https://drive.google.com/file/d/13Ftsqm0dv8iZJ1dGgNp-hTVhC1WsxW0j/view?usp=drive_link,https://drive.google.com/file/d/1HYZqkeMt-KSD5Mnyc2-GWhBRF3OTI4PJ/view?usp=drive_link,https://drive.google.com/file/d/13Ftsqm0dv8iZJ1dGgNp-hTVhC1WsxW0j/view?usp=drive_link,,13,Per3an,"-7.129772,110.412832",Isp 4 jembatan.jpg,Isp 4 jembatan wide.jpg,Isp 4 jembatan.jpg,https://drive.google.com/file/d/1GSRgI7okfNYFTxywyKKruBUFsVADLjdL/view?usp=drive_link,https://drive.google.com/file/d/1cuwOu13r6--rGv9NHErdQueWtuliKM-o/view?usp=drive_link,https://drive.google.com/file/d/1GSRgI7okfNYFTxywyKKruBUFsVADLjdL/view?usp=drive_link
,,,13,Depan Masjid,"-7.155234,110.410570",Joint box 8 & isp 7.jpg,Joint box 8 & isp 7 wide.jpg,Joint box 8 & isp 7.jpg,https://drive.google.com/file/d/1tvdzHfL_sEY2ZxkJeQ5a0-cMc-VNjhMO/view?usp=drive_link,https://drive.google.com/file/d/1zKK-2TZAL7HdKbCjmZpTMFj3Yph8RWze/view?usp=drive_link,https://drive.google.com/file/d/1tvdzHfL_sEY2ZxkJeQ5a0-cMc-VNjhMO/view?usp=drive_link,,14,Depan Cuci Mobil,"-7.128866,110.411428",Isp 5 jembatan.jpg,Isp 5 jembatan wide.jpg,-,https://drive.google.com/file/d/1F4LXofxFEnJKRh9u973FgiRfuoEVGzuD/view?usp=drive_link,https://drive.google.com/file/d/1UDFxZIcK81-V27jcJ5RFsVFvp4V4pu__/view?usp=drive_link,-
,,,14,Depan Alfamart,"-7.153357,110.409860",Joint box 9 & isp 8.jpg,Joint box 9 & isp 8 wide.jpg,Joint box 9 & isp 8.jpg,https://drive.google.com/file/d/15BCYOopsqojUF5yJndlepeNo9v9xPF3l/view?usp=drive_link,https://drive.google.com/file/d/1bSeFEJas0bvWYgcrWnAON4tO5Zdljk4P/view?usp=drive_link,https://drive.google.com/file/d/15BCYOopsqojUF5yJndlepeNo9v9xPF3l/view?usp=drive_link,,15,seberang soto,"-7.128947,110.412262",-,Jb 4 jembatan wide.jpg,Jb 4 jembatan.jpg,-,https://drive.google.com/file/d/1nzua-HFgvWpX5N7SpFp-q6XrGz6eUvlw/view?usp=drive_link,https://drive.google.com/file/d/1laJ-iTjKL0C2b1a30sKhFz3XK8ZP9hrv/view?usp=drive_link
,,,15,Depan WS,"-7.150251,110.408716",Joint box 10 & isp 9.jpg,Joint box 10 & isp 9 wide.jpg,Joint box 10 & isp 9.jpg,https://drive.google.com/file/d/1pT2SGRp9nr6_TmZkceaT9UHcDdpYWsy_/view?usp=drive_link,https://drive.google.com/file/d/1a_9u2LV_3FYhVsEzQPUx5__cfrsFFdPB/view?usp=drive_link,https://drive.google.com/file/d/1pT2SGRp9nr6_TmZkceaT9UHcDdpYWsy_/view?usp=drive_link,,16,Depan Rotan,"-7.128820,110.410189",Isp 6 jb5 jembatan.jpg,Isp 6 jb5 jembatan wide.jpg,Isp 6 jb5 jembatan.jpg,https://drive.google.com/file/d/1hLo89Gcxcrz-iZ9qdWCk3ohncHGeqfzo/view?usp=drive_link,https://drive.google.com/file/d/1QMmZEciLSiq6yTBVBa3nv5tVMIKyUw9X/view?usp=drive_link,https://drive.google.com/file/d/1hLo89Gcxcrz-iZ9qdWCk3ohncHGeqfzo/view?usp=drive_link
,,,16,Depan Over O,"-7.148437,110.408003",Joint box 11 & isp 10.jpg,Joint box 11 & isp 10 wide.jpg,Joint box 11 & isp 10.jpg,https://drive.google.com/file/d/1uP7GPmujkF-ZDhXExeDpcg5d6lzOuxKu/view?usp=drive_link,https://drive.google.com/file/d/13klxjqlD7XnrTxHPhOSViKEw94zlIJoX/view?usp=drive_link,https://drive.google.com/file/d/1uP7GPmujkF-ZDhXExeDpcg5d6lzOuxKu/view?usp=drive_link,,17,Per3an,"-7.128810,110.409827",-,Jb6 jembatan wide.jpg,Jb6 jembatan.jpg,-,https://drive.google.com/file/d/1SAaVGCo3006pVikCv2ZWeQxnIKiwUvWG/view?usp=drive_link,https://drive.google.com/file/d/1VcBZwTsGxeVCWUO-GCAMGZ_9uiz7UDxe/view?usp=drive_link
,,,17,Seberang Domino Pizza,"-7.146234,110.407100",11 isp wujil kominfo.heic,1 tiang.jpg,-,https://drive.google.com/file/d/1vzBYhHmGAscU6p5NF5pCGEwS2uazvxR2/view?usp=drive_link,https://drive.google.com/file/d/1ozjaDqhaPoeAIm07zz8zzq7E-Ht5FndL/view?usp=drive_link,-,,,,,,,,,,
,,,18,Seberang Sate Sapi,"-7.146234,110.407100",12 isp wujil kominfo.heic,2 tiang.jpg,12 jb wujil kominfo.heic,https://drive.google.com/file/d/1k7gcxam6pCOq6SVkjgRglR6eW5bgZLUI/view?usp=drive_link,https://drive.google.com/file/d/1Ygpj2iIhRhjM0g-bvgzvV9vmq10UooUf/view?usp=drive_link,https://drive.google.com/file/d/1kK0vDgceMm_k31eu5oIrXyHKQ-i7IOrS/view?usp=drive_link,,,,,,,,,,
,,,19,Seberang Dealer Honda,"-7.142141,110.405826",13 isp wujil kominfo.heic,3 tiang.jpg,-,https://drive.google.com/file/d/13TEgz4SLdZ_pAzHZMyPX4Xgqp6_CfdeS/view?usp=drive_link,https://drive.google.com/file/d/1tCZDF4oSN33EkCl0zmjhUyav-ni3ig-1/view?usp=drive_link,-,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,link Tiang,Link JB
,,,20,Depan Indomaret,"-7.139752,110.405395",14 isp wujil  kominfo.heic,4 tiang.jpg,13 jb wujil kominfo.heic,https://drive.google.com/file/d/10Xz-3v8YMPMYmxx4FlUNk2pN-RRwTRUg/view?usp=drive_link,https://drive.google.com/file/d/1vJK1FczZuu7CSm81IPNah8Pn3IM94Hoa/view?usp=drive_link,https://drive.google.com/file/d/1_2G5HDj8jSghBmML-HmlgLMTC_MSPasC/view?usp=drive_link,,1,Depan Kuburan,"-7.138677,110.403630",Isp1 kec genuk.jpg,Isp1 kec genuk wide.jpg,-,https://drive.google.com/file/d/1tYP4HlEDbMsxOXYynzNgRi5mUZCwzGtP/view?usp=drive_link,https://drive.google.com/file/d/1BoDG9zv7qI52Bh_DSxvCoHjmB5EBnGTa/view?usp=drive_link,-
,,,,,,,,,,,,,2,Depan SLB,"-7.138334,110.402904",Isp 2 kec genuk.jpg,Isp 2 kec genuk wide.jpg,-,https://drive.google.com/file/d/1WLZznNFHL56KH9XLcHIxAg3zOqmheLEW/view?usp=drive_link,https://drive.google.com/file/d/1ufjEKIREoaeex3j4BGULxD0yOfxMWSMu/view?usp=drive_link,-
,,,,,,,,,,,,,3,Depan Kelurahan Genuk,"-7.138355,110.402554",Isp 3 kec genuk.jpg,Isp 3 kec genuk wide.jpg,-,https://drive.google.com/file/d/1tCnN3qO8fc4ysWmPNe-KYKpUJhLdE29t/view?usp=drive_link,https://drive.google.com/file/d/1Id2Qdc_N4QF3Y6ynX_PYkCMuuE4Nh_Qn/view?usp=drive_link,-
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
,,,1,Bangjo assalamah ,"-7.121319,110.408707",Isp 1 jb1.jpg,Isp 1 jb1 wide.jpg,Isp 1 jb1.jpg,https://drive.google.com/file/d/10rlDCMD4FE3Et703sB3Yz18cif6mrUmp/view?usp=drive_link,https://drive.google.com/file/d/1hCM_hkVUjo1-fmo8Yk9ghLs26nIjagxV/view?usp=drive_link,https://drive.google.com/file/d/10rlDCMD4FE3Et703sB3Yz18cif6mrUmp/view?usp=drive_link,,,,,,,,,,
,,,2,Depan Batu Alam,"-7.120044,110.410477 ",-,Jb 2 wide.jpg,Jb 2.jpg,-,https://drive.google.com/file/d/1CJxT4rHfm19AmoyAzhWmNT5kDUuY3tWM/view?usp=drive_link,https://drive.google.com/file/d/1DmE_wtzX-BC0sn_8ykvJTDJAN5LYZE0v/view?usp=drive_link,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB
,,,3,Depan Hotel Rahayu ,"-7.118952,110.411718",Isp2 jb 3.jpg,Isp2 jb 3 wide.jpg,Isp2 jb 3.jpg,https://drive.google.com/file/d/1gV43jX1zNU80q_v7Q0EUBihucwoXcbvJ/view?usp=drive_link,https://drive.google.com/file/d/1onH16yrNOIGoIqMySJzQ6ykyiEyoyl2Q/view?usp=drive_link,https://drive.google.com/file/d/1gV43jX1zNU80q_v7Q0EUBihucwoXcbvJ/view?usp=drive_link,,1,Depan Over O,"-7.148437,110.408003",Joint box 11 & isp 10.jpg,Joint box 11 & isp 10 wide.jpg,Joint box 11 & isp 10.jpg,https://drive.google.com/file/d/1uP7GPmujkF-ZDhXExeDpcg5d6lzOuxKu/view?usp=drive_link,https://drive.google.com/file/d/13klxjqlD7XnrTxHPhOSViKEw94zlIJoX/view?usp=drive_link,https://drive.google.com/file/d/1uP7GPmujkF-ZDhXExeDpcg5d6lzOuxKu/view?usp=drive_link
,,,4,Seberang Polres,"-7.117175,110.412770",Isp 3.jpg,Isp 3 wide.jpg,-,https://drive.google.com/file/d/1d0LhWlsjuyccF7wMaN229fpYzF4Kjsh7/view?usp=drive_link,https://drive.google.com/file/d/1VpS9weSazk_BMB3_fMvVdCkpe7oaMlEd/view?usp=drive_link,-,,2,Belakang Warung,"-7.148903,110.407680",-,Jb1 smada wide.jpg,Jb1 smada.jpg,-,https://drive.google.com/file/d/1VPSCbJKU9nPGg2va30QANj_XVHNhW6qr/view?usp=drive_link,https://drive.google.com/file/d/1kT9TQgKaGoryvfzm_m_Rh9ZAOCG_311Y/view?usp=drive_link
,,,5,Sebarang Halte,"-7.115577,110.413121",Isp 4 jb 4.jpg,Isp 4 jb 4 wide.jpg,Isp 4 jb 4.jpg,https://drive.google.com/file/d/1kuSW9XgI--3Y_nH2O6_AQqcNweW8az62/view?usp=drive_link,https://drive.google.com/file/d/1-NRPiJd8XbzBRqEWXCHksyR0xB5i5Gz5/view?usp=drive_link,https://drive.google.com/file/d/1kuSW9XgI--3Y_nH2O6_AQqcNweW8az62/view?usp=drive_link,,3,Disperindag,"-7.149422,110.406850",-,Jb2 smada wide.jpg,Jb2 smada.jpg,-,https://drive.google.com/file/d/1aQEZmuXefY7lBPeerjvO-v-sRfivb1R7/view?usp=drive_link,https://drive.google.com/file/d/1DdMBZjT_o1mjRIJRT1H7XL1b6sRZenNO/view?usp=drive_link
,,,6,Depan Pengadilan,"-7.112826,110.412389",Isp 5 only.jpg,Isp 5 only wide.jpg,-,https://drive.google.com/file/d/1BO6CTwfi-YqUbOh5egacFb7ew9MBvQUe/view?usp=drive_link,https://drive.google.com/file/d/1ztYrrI1QA8sLny8K0xTW_rICTUWQ5t9K/view?usp=drive_link,-,,,,,,,,,,
,,,7,Seberang Alfamart,"-7.112139,110.412285",-,Jb 5 wide.jpg,Jb 5.jpg,-,https://drive.google.com/file/d/1P2eP99wZMuA6kFnPDJ1f6Cm4sSsLElQH/view?usp=drive_link,https://drive.google.com/file/d/12GmGm2XQHWO3b3jq4d8Ojh0s92itjHhs/view?usp=drive_link,,,,,,,,,,
,,,8,Sebelah SS,"-7.111409,110.412291",Isp 6.jpg,Isp 6 wide.jpg,-,https://drive.google.com/file/d/11qkwkTxpcvToGf31Bzkg9DpqHUwsTbnj/view?usp=drive_link,https://drive.google.com/file/d/1ru9G44pr3aCKRgO1EAei_1aT8raZwcIh/view?usp=drive_link,-,,,,,,,,,,
,,,9,Taman Unyil,"-7.109933,110.412695",-,Jb 6 wide.jpg,Jb 6.jpg,-,https://drive.google.com/file/d/1uzfgja84Tb4iNVXv-WEiNna4vNI0-L9p/view?usp=drive_link,https://drive.google.com/file/d/11RumJQur2Qct6u773V4a6EpRWAVA9Lqo/view?usp=drive_link,,,,,,,,,,
,,,10,Taman Unyil,"-7.110288,110.412624",Isp 7.jpg,Isp 7 wide.jpg,-,https://drive.google.com/file/d/1CzIEJ1bK6keEWH-MLC3XLlxPqzu5c6fb/view?usp=drive_link,https://drive.google.com/file/d/159ki7JhlVuz38ewLA__OmOw4NwcmOtWS/view?usp=drive_link,-,,,,,,,,,,
,,,11,Taman Unyil,"-7.109102,110.412621",-,Jb 7 wide.jpg,Jb 7.jpg,-,https://drive.google.com/file/d/18u6PUXs90MC43jg5SWCGcgh4RRd0Wbw5/view?usp=drive_link,https://drive.google.com/file/d/1hSJ_Q13B2zJQLXBsy9My6V29pCqvumzE/view?usp=drive_link,,,,,,,,,,
,,,12,Depan PBR,"-7.108739,110.412700",Isp 8.jpg,Isp 8 wide.jpg,-,https://drive.google.com/file/d/11auuLJX6ThPSxzQPgwNM5LiygCZU0_Qh/view?usp=drive_link,https://drive.google.com/file/d/1fM3VLpDdv0MWxHX1-vGS4PaB4G0YEisG/view?usp=drive_link,-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
,,,1,Dishub,"-7.203589,110.423405",1 Isp dishub to kominfo.heic,1 tiang dishub to kominfo.heic,-,https://drive.google.com/file/d/1jTZE13RNYSjf6FQNFTU_rxOfXKPjPJm0/view?usp=drive_link,https://drive.google.com/file/d/1JGIJOJs8URqZ3FbGqvm9hS1_hqCdmrLV/view?usp=drive_link,-,,,,,,,,,,
,,,2,Bergas kidul,"-7.1989565,110.4236474",2 isp dishub to kominfo.heic,2 Tiang dishub to kominfo.heic,2 jb dishub to kominfo.heic,https://drive.google.com/file/d/1DtOOUwCPOGmJF2UqfcItFytjuOLiveTU/view?usp=drive_link,https://drive.google.com/file/d/1UTKcLEx_zT47MzENFVikbHGF5i6ysiUE/view?usp=drive_link,https://drive.google.com/file/d/1GqBLfYuPkWsI6Lck9be5XlKgSpgEAaIa/view?usp=drive_link,,,,,,,,,,
,,,3,Bergas kidul 2,"-7.1965179,110.4253154",3 isp dishub to kominfo.heic,3 tiang dishub kominfo.heic,-,https://drive.google.com/file/d/1Jvsk7IYH5YvDcGkkAEZFMcV4h9WOQf-0/view?usp=drive_link,https://drive.google.com/file/d/15dHzbXWcvhWq1B-AFmgDcTGnS6Yf-3k6/view?usp=drive_link,-,,,,,,,,,,
,,,4,Sosro,"-7.1924145,110.4257720",4 isp dishub to kominfo.heic,4 tiang dishub to kominfo.heic,4 jb dishub to kominfo.heic,https://drive.google.com/file/d/1G5oVcl_oJABEv_A_NYSzL_1qWk-YMzwU/view?usp=drive_link,https://drive.google.com/file/d/1dBON3q8LJw-gR4WZ6gRj62hGrkvMceom/view?usp=drive_link,https://drive.google.com/file/d/1agiN-Kro0ZHuX1wIHSGW7IosX7Gax3yc/view?usp=drive_link,,,,,,,,,,
,,,5,Sosro 2,"-7.1924145,110.4257720",5 isp dishub to kominfo.heic,5 tiang dishub to kominfo.heic,5 jb dishbu to kominfo.heic,https://drive.google.com/file/d/1vPFEt6F7gAgi0THC9ZtudDesA676kdXt/view?usp=drive_link,https://drive.google.com/file/d/1imz4krrtkqYC0cbNcd2yZx5fIqQSnKlj/view?usp=drive_link,https://drive.google.com/file/d/1LxLaGIH5xbG6fmedYyvabbwdsss6Lsrv/view?usp=drive_link,,,,,,,,,,
,,,6,Sman 1 bergas,"-7.1905957,110.4255681",6 isp dishub to kominfo.heic,6 tiang dishub to kominfo.heic,-,https://drive.google.com/file/d/18WQwv6KtOI-FldDlf4Tc-81VBEeXU_jn/view?usp=drive_link,https://drive.google.com/file/d/1b54eGhOiFT2VIQYZQkwgOJHLi53YM4MK/view?usp=drive_link,-,,,,,,,,,,
,,,7,Kantor kecamatan bergas,"-7.1892585,110.4260540",7 isp dishub to kominfo.heic,7 tiang dishub to kominfo.heic,-,https://drive.google.com/file/d/1fX0I2K9Rg-yqAXmbBvEdnXNnEq_fTPAG/view?usp=drive_link,https://drive.google.com/file/d/1ZdQSUPHVtULDFPKtqAY2Rolg4YqmtauZ/view?usp=drive_link,-,,,,,,,,,,
,,,8,Kantor kecamatan bergas 2,"-7.1889621,110.4262390",8 isp dishub to kominfo.heic,8 tiang dishub to kominfo.heic,8 jb dishub to kominfo.heic,https://drive.google.com/file/d/1sTUmZBzx-iSGgMTa4k5ay3aTAH993f83/view?usp=drive_link,https://drive.google.com/file/d/14IGEIGq7GN4hsRT2TNFiJLcy2pyEtNm6/view?usp=drive_link,https://drive.google.com/file/d/1s3uKPZeHPpdai6fyM1UMLleD5nUOJshE/view?usp=drive_link,,,,,,,,,,
,,,9,Polsek bergas,"-7.1858496,110.4273002",9 isp dishub to kominfo,9 tiang dishub to kominfo,9 jb dishub to kominfo,https://drive.google.com/file/d/1HDfoRZS9R6zTEtjmbm0jMEN3hisiDFmr/view?usp=drive_link,https://drive.google.com/file/d/1Vz3EBc7fynT0s8w7bvOSrs0T_c_zHD2-/view?usp=drive_link,https://drive.google.com/file/d/1CQRgyZEk8PIHTPLM1rs9e51UUNbX8S9C/view?usp=drive_link,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
,,,1,Depan Pasar (menyusul),,,,,,,,,,,,,,,,,
,,,2,Area pasar (soon),,,,,,,,,,,,,,,,,
,,,3,Depan Kelurahan Karangjati,"-7.1828328, 110.4278407",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
,,,1,Setelah jembatan kiri jalan,"-7.1352658, 110.4252077",isp 1.jpg,tiang 1.jpg,-,https://drive.google.com/file/d/13f_YbVdhVjkZcR4tuko_03cPcmWRbhoW/view?usp=drive_link,https://drive.google.com/file/d/11x8bG_xF_BXQIOQhJ43sCCwXWDUkvkXG/view?usp=drive_link,-,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB
,,,2,Depan mushola laidatul minal,"-7.1352511, 110.4253871",-,tiang 2.jpg,-,-,https://drive.google.com/file/d/15LQrJ7BmBs3Tqj4QnSZCIyagETGXm5Eo/view?usp=drive_link,-,,1,Smp islam ungaran,"-7.1273619,110.4025578",1 isp alun lama kecamatan ungaran barat.heic,1 tiang alun lama kecamatan ungaran barat.heic,1 jb alun lama kecamatan ungaran barat.heic,https://drive.google.com/file/d/1zUOiCojDPJLavSa64JS2FKknHeMPZ23j/view?usp=drive_link,https://drive.google.com/file/d/1qNMWhdxQTP9fNLoqXhrR6iwwMTahB465/view?usp=drive_link,https://drive.google.com/file/d/1or1lt9wpwzPZcri029KQBj2xBKJ9Yn8f/view?usp=drive_link
,,,3,Depan gang kalirejo rt 3/2,"-7.1351676, 110.4256268",isp 3.jpg,tiang 3.jpg,-,https://drive.google.com/file/d/1BWbDf4lxlRAdt47HGU4RFWlJp0eyBSCW/view?usp=drive_link,https://drive.google.com/file/d/1uQBWOWjqu7hEZfxWJ0iwRabPzLzM0fMe/view?usp=drive_link,-,,2,Bendari,"-7.1273798,110.4021494",2 isp alun lama kecamatan ungaran barat.heic,2 tiang alun lama kecamatan ungaran barat .heic,-,https://drive.google.com/file/d/1QSizztsMaAz1kChoRsXitJAsDrHesNRD/view?usp=drive_link,https://drive.google.com/file/d/1fdS89-ysdkvLfy9S3ldSfc1GcV4IYtrI/view?usp=drive_link,-
,,,4,Depan pom unyil kalirejo,"-7.1349201, 110.4261867",isp 4.jpg,tiang 4.jpg,-,https://drive.google.com/file/d/1ZjkN3Gkyfu5ieKBTNNrEEUpuunm3vAZz/view?usp=drive_link,https://drive.google.com/file/d/1Z3PZNjNbnkFQjBbwACfRMmFY1W71301m/view?usp=drive_link,-,,3,Kostel 8000,"-7.1275292,110.4016023",3 isp alun lama kecamatan ungaran barat.heic,3 tiang alun lama kecamatan ungaran barat.heic,-,https://drive.google.com/file/d/1geR2_w6dlqJz8jdIZXN4cXjVJlfZsi90/view?usp=drive_link,https://drive.google.com/file/d/11szHHplJo8EDMVS1etugLU1uGuPpir7B/view?usp=drive_link,-
,,,5,Depan bengkel shock kalirejo,"-7.1359145, 110.4274752",isp 5.jpg,tiang 5.jpg,-,https://drive.google.com/file/d/1qXSxrXI7GjnqC5it725zUwN9q-YhbR5h/view?usp=drive_link,https://drive.google.com/file/d/12QJfjDW6i0_Rnn44pHgJgiH1686G7bLD/view?usp=drive_link,-,,4,Sebrang sidqi drp,"-7.1274524,110.4001304",4 isp alun lama kecamatan ungaran barat.heic,4 tiang alun lama kecamatan ungaran barat.heic,-,https://drive.google.com/file/d/1JErWarUIUvem1lYjSIe_ezwEwaPtdLQ1/view?usp=drive_link,https://drive.google.com/file/d/1rarEtowCwEXdjDZ4BRtjRExSt2dZhmZ_/view?usp=drive_link,-
,,,6,Depan toko mur & baut,"-7.1366886, 110.4277756",-,tiang 6.jpg,-,-,https://drive.google.com/file/d/1IaK-Iw_yVZUfyxnchZb_RflBGFf6tMny/view?usp=drive_link,-,,5,Gapura desa lerep,"-7.1273359,110.3999467",5 isp alun lama kecamatan ungaran barat.heic,5 tiang alun lama kecamatan ungaran barat.heic,2 jb alun lama kecamatan ungaran barat.heic,https://drive.google.com/file/d/15y2rDrgO-pZgp5qt6AW98nS6ncaWMwxh/view?usp=drive_link,https://drive.google.com/file/d/1gS8e83OgsO83DtcUsj9ukhhYNJjzhS-F/view?usp=drive_link,https://drive.google.com/file/d/1ns7hmHvr0hghZrwhhbZekPlSYfI0rrYX/view?usp=drive_link
,,,7,Depan bengkel karya mandiri,"-7.1376042, 110.4285947",-,tiang 7.jpg,jb 7.jpg,-,https://drive.google.com/file/d/1_eW0aexsDcCgDNLqeftCUc2hVF4izQvM/view?usp=drive_link,https://drive.google.com/file/d/1Kad8N8UQX_ZBCbk1MoMB-Ph1sFQZHw0a/view?usp=drive_link,,6,Nu karang bolo,"-7.1270761,110.3994521",-,6 tiang alun lama kecamatan ungaran barat.heic,3 jb alun lama kecamatan ungaran barat.heic,-,https://drive.google.com/file/d/1Ahbq3yV5l8oINGBy8hMJBkq_wn3-gsno/view?usp=drive_link,https://drive.google.com/file/d/1xcgwoBzWivUmaRuXSwCh1jmjElgrAvKs/view?usp=drive_link
,,,8,Depan mushola al-aziz,"-7.1375047, 110.4366869",isp 8.jpg,tiang 8.jpg,-,https://drive.google.com/file/d/18EGYNpJUDdn7nvHKA31T78MQaXRHrNc1/view?usp=drive_link,https://drive.google.com/file/d/1K9UVli353O91RhAc9Oq7489GJKQosQdC/view?usp=drive_link,-,,7,Dusun karang bolo,"-7.1271353,110.3981613",-,7 tiang alun lama kecamatan ungaran barat.heic,4 jb alun lama kecamatan ungaran barat.heic,-,https://drive.google.com/file/d/1hEnZF-zP2mNKudWuUdYnEwGttzTIoAL2/view?usp=drive_link,https://drive.google.com/file/d/15xftcFkp33YMSU60tVZ-ksscHxg8NveP/view?usp=drive_link
,,,9,Depan kebon,"-7.1378440, 110.4352050",isp 9.jpg,tiang 9.jpg,jb 9.jpg,https://drive.google.com/file/d/10SbfRoILr2EgDvaGqHMuePeel7ymvFrU/view?usp=drive_link,https://drive.google.com/file/d/1ljIikbCH51WIStrIVoQq0rKNyVKNn33e/view?usp=drive_link,https://drive.google.com/file/d/1q-XQcHzpPxJJeBNbmk9Ojuy7mbfCyP1Z/view?usp=drive_link,,8,Oyo (Langganan Hassan),"-7.1279457,110.3971156",6 isp alun lama kecamatan ungaran barat.heic,9 tiang alun lama kecamatan ungaran barat.heic,-,https://drive.google.com/file/d/1iweId3VBKBzVf7qPZYNmSZCNvxXemFxX/view?usp=drive_link,https://drive.google.com/file/d/11ZgnY_h3NbZ4fpszdJnUceeTbWXN7yhN/view?usp=drive_link,-
