,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,,,,,,,,,,,
,,,20,Depan kantor bupati,"-7.134349,110.409569",20 isp asalamah masuk.heic,Tiang 20.jpg,,https://drive.google.com/file/d/1oXiyfyZMyfMgbHCc375Q2NJa6poupuiU/view?usp=drive_link,https://drive.google.com/file/d/1eqCZf6FPruJorDQa6IJHofct0flC2XM3/view?usp=drive_link,,,,,,,,,,,
,,,21,Depan masjid agung (belum fix),"-7.134766,110.409603 ",21 isp asapamah masuk.heic,Tiang 21.jpg,,https://drive.google.com/file/d/13O2em3ZV_dkJIP5jckqlKgg97npIFbiB/view?usp=drive_link,https://drive.google.com/file/d/1eoqurEcwyzIKyelA0GYWJDaN1C3nap1U/view?usp=drive_link,,,,,,,,,,,
,,,22,Depan masjid agung (belum fix),"-7.135145,110.409630",22 isp asalamah masuk.heic,Tiang 22.jpg,,https://drive.google.com/file/d/1gJ-y4fgj0EVLIBZW1xYOIlqY889ZpK2J/view?usp=drive_link,https://drive.google.com/file/d/1fCTTSKSU7v3iMzOiYJLGtNHeMsQBvslM/view?usp=drive_link,,,,,,,,,,,
,,,23,depan karen chicken,"-7.135534,110.409671",23 isp asalamah masuk.heic,Tiang 23.jpg,,https://drive.google.com/file/d/1KBQwbVKa1vl2n6oimENgwNUaYmuxF-ML/view?usp=drive_link,https://drive.google.com/file/d/1fB-kN71G4VDCeQuZTjQNjncL0c6RlqsS/view?usp=drive_link,,,,,,,,,,,
,,,24,Depan sop iga,"-7.135895,110.409749",24 isp asalamah masuk.heic,Tiang 24.jpg,,https://drive.google.com/file/d/1CqCg2wm_gCcceOcaemI1Ul7OeY0mTUCb/view?usp=drive_link,https://drive.google.com/file/d/1fAFsS_SZzuf0yb_tEQeiSlzMhNK5MaTk/view?usp=drive_link,,,,,,,,,,,
,,,25,Bangjo perempatan,"-7.136353,110.409863",25 isp asalamah masuk.heic,Tiang 25.jpg,,https://drive.google.com/file/d/1bini1be4Mn-aXqjwa5fv82aRrGQMX_XA/view?usp=drive_link,https://drive.google.com/file/d/1fGAp7cWhP9Vf8VQAKmtj_nEVq_t1RXdV/view?usp=drive_link,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,Link JB,,,,,,,,,,
